date,state,positive
20200204,Liaoning,81
20200204,Ningxia,34
20200204,Shaanxi,142
20200204,Shandong,275
20200204,Shanghai,219
20200204,Shanxi,81
20200204,Sichuan,282
20200204,Tianjin,67
20200204,Xinjiang,29
20200204,Yunnan,122
20200204,Zhejiang,829
20200205,Anhui,530
20200205,Beijing,253
20200205,Chongqing,389
20200205,Fujian,205
20200205,Gansu,62
20200205,Guangdong,895
20200205,Guangxi,150
20200205,Guizhou,64
20200205,Hainan,99
20200205,Hebei,135
20200205,Heilongjiang,190
20200205,Henan,764
20200205,Hong Kong,21
20200205,Hubei,19665
20200205,Hunan,661
20200205,Inner Mongolia,42
20200205,Jiangsu,341
20200205,Jiangxi,548
20200205,Jilin,54
20200205,Liaoning,89
20200205,Ningxia,34
20200205,Shaanxi,165
20200205,Shandong,307
20200205,Shanghai,243
20200205,Shanxi,81
20200205,Sichuan,301
20200205,Tianjin,69
20200205,Xinjiang,32
20200205,Yunnan,128
20200205,Zhejiang,895
20200206,Anhui,591
20200206,Beijing,274
20200206,Chongqing,411
20200206,Fujian,215
20200206,Gansu,62
20200206,Guangdong,970
20200206,Guangxi,168
20200206,Guizhou,71
20200206,Hainan,106
20200206,Hebei,157
20200206,Heilongjiang,227
20200206,Henan,851
20200206,Hong Kong,24
20200206,Hubei,22112
20200206,Hunan,711
20200206,Inner Mongolia,46
20200206,Jiangsu,373
20200206,Jiangxi,600
20200206,Jilin,59
20200206,Liaoning,94
20200206,Ningxia,40
20200206,Shaanxi,173
20200206,Shandong,347
20200206,Shanghai,257
20200206,Shanxi,96
20200206,Sichuan,321
20200206,Tianjin,79
20200206,Xinjiang,36
20200206,Yunnan,133
20200206,Zhejiang,954
20200207,Anhui,665
20200207,Beijing,297
20200207,Chongqing,426
20200207,Fujian,224
20200207,Gansu,67
20200207,Guangdong,1034
20200207,Guangxi,172
20200207,Guizhou,81
20200207,Hainan,117
20200207,Hebei,172
20200207,Heilongjiang,277
20200207,Henan,914
20200207,Hong Kong,25
20200207,Hubei,24953
20200207,Hunan,772
20200207,Inner Mongolia,50
20200207,Jiangsu,408
20200207,Jiangxi,661
20200207,Jilin,65
20200207,Liaoning,99
20200207,Ningxia,43
20200207,Shaanxi,184
20200207,Shandong,386
